City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Mocuba,MZ,74.95,light rain,-16.8392,36.9856,Phama Lodge
37,Una,IN,71.71,clear sky,20.8167,71.0333,Hotel Harbhole
38,Biloela,AU,74.16,scattered clouds,-24.4167,150.5,Silo Motor Inn Biloela
41,Huntsville,US,70.68,overcast clouds,34.7304,-86.5861,Embassy Suites by Hilton Huntsville
44,East London,ZA,70.74,clear sky,-33.0153,27.9116,Tu Casa
46,Carnarvon,AU,70.47,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
60,Tessaoua,NE,74.48,clear sky,13.7574,7.9874,Benin Dan Kaabou Heberge
71,Mae Hong Son,TH,74.3,overcast clouds,19.3003,97.9685,Baiyoke Chalet Hotel
74,Popondetta,PG,73.11,overcast clouds,-8.7537,148.2534,Timos Transit House
83,Phan Thiet,VN,74.43,overcast clouds,10.9333,108.1,Hotel Saigon-PT
92,Biltine,TD,71.44,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
109,Katakwi,UG,74.3,overcast clouds,1.8911,33.9661,Homestay Katakwi
112,Pringsewu,ID,73.27,overcast clouds,-5.3582,104.9744,Urban Style by Front One
121,Coihueco,CL,70.54,broken clouds,-36.6167,-71.8333,"Frutillares, Coihueco"
132,Charters Towers,AU,74.08,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
189,Dingle,PH,72.86,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
201,Hualmay,PE,71.13,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
209,Najran,SA,70.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
223,Cidreira,BR,74.17,clear sky,-30.1811,-50.2056,Hotel Castelo
233,Celendin,PE,70.32,light rain,-6.8703,-78.1517,Villa Madrid
263,Lundazi,ZM,72.07,overcast clouds,-12.2929,33.1782,Knox Lodge
279,Lira,UG,72.79,overcast clouds,2.235,32.9097,ST Lira Hotel Limited
290,Biak,ID,74.98,overcast clouds,-0.9131,122.8766,Penginapan Kim
292,Jerantut,MY,73.56,overcast clouds,3.936,102.3626,Jerantut Hill Resort
295,Tay Ninh,VN,74.17,broken clouds,11.3,106.1,Thanh Tuyền Hotel
297,Senanga,ZM,70.68,clear sky,-16.1167,23.2667,Zango lodge
314,Cam Ranh,VN,73.36,broken clouds,11.9214,109.1591,OYO 598 Peony Hotel
348,Port Elizabeth,ZA,70.11,few clouds,-33.918,25.5701,39 On Nile Guest House
349,Katobu,ID,73.99,overcast clouds,-4.9408,122.5276,La Ode Husein
401,Surt,LY,70.95,broken clouds,31.2089,16.5887,فندق المدينة
412,Atambua,ID,72.81,broken clouds,-9.1061,124.8925,Ros Muskanan
445,Livingstone,ZM,72.21,light rain,-17.8419,25.8543,Gloria's Bed and Breakfast
457,Yeppoon,AU,74.98,clear sky,-23.1333,150.7333,Villa Mar Colina
480,Umm Lajj,SA,74.97,clear sky,25.0213,37.2685,Moon light Furnished Units
499,Bilma,NE,72.25,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
500,Paita,PE,73.63,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
512,Lahat,ID,72.75,overcast clouds,-3.8,103.5333,Bukit Serelo Hotel
574,Rawson,AR,73.98,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
576,Magway,MM,70.34,overcast clouds,20.15,94.9167,Htein Htein Thar 2
583,Keti Bandar,PK,74.32,clear sky,24.1447,67.4497,Haji laloo memon house
595,Mananara,MG,72.68,light rain,-16.1667,49.7667,Chez Roger
601,Rajkot,IN,71.94,clear sky,22.3,70.7833,The Imperial Palace
627,Amuntai,ID,72.95,overcast clouds,-2.4177,115.2494,Hotel Balqis
628,Pedregulho,BR,72.01,scattered clouds,-20.2569,-47.4767,Hotel Santa Rita
632,Mundra,IN,73.02,clear sky,22.85,69.7333,Hotel Bansidhar Palace
641,Emerald,AU,74.34,clear sky,-23.5333,148.1667,Emerald Inn
642,Owando,CG,71.56,moderate rain,-0.4819,15.8999,Exaunel Hotel Owando
644,Huarmey,PE,71.19,few clouds,-10.0681,-78.1522,Hotel Miramar
648,Odweyne,SO,70.59,broken clouds,9.4092,45.064,Eng Hiirey House
655,Bamnet Narong,TH,70.81,clear sky,15.4992,101.6897,Jong Jaroen Resort
659,Richards Bay,ZA,74.7,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
662,Guarapari,BR,73.89,light rain,-20.6667,-40.4975,Hotel Porto do Sol
